region,year,median_fertilizer_price(UAH/50kg),fert_price_index,median_diesel(UAH/liter),diesel_p_ind,median_wheat_harvesting(uah/ha),wheat_ind,wheat_service(village),wheat_vil_ind,median_maize_harv,maize_ind,median_plowing(uah/ha),plow_ind,wage(uah/day),wageind
Central,21,556.1,1,28.17,1,1200,1,1200,1,1500,1,1200,1,500,1
Central,22,1400.431034,2.518307924,53.39,1.895278692,1672.775024,1.393979192,1550,1.291666627,1700,1.133333325,1600,1.333333373,550.8449707,1.101689935
East,21,550,1,28.26,1,1025,1,1000,1,1500,1,600,1,445,1
East,22,1375.001944,2.500003576,54.14,1.915781975,1500,1.463414669,1300,1.299999952,2000,1.333333373,925,1.541666627,587.5,1.320224762
North,21,550,1,28,1,1404,1,1100,1,1315,1,767.5,1,450,1
North,22,1450.00025,2.636363983,53.57,1.913214326,1820,1.296296239,1347.5,1.225000024,1500,1.140684366,975,1.270358324,450,1
Southern,21,572.7,1,28.25,1,1100,1,1075,1,1125,1,1100,1,287.4100037,1
Southern,22,1455,2.5405972,53.62,1.89805305,1452,1.320000052,1550,1.441860437,1550,1.377777815,1500,1.363636374,500,1.739675045
West,21,573.85,1,28.29,1,2106,1,2200,1,2500,1,2000,1,397,1
West,22,1550,2.701054335,53.45,1.889360189,2933.25,1.392806292,2950,1.340909123,3000,1.200000048,2620,1.309999943,500,1.259445786